date,fuel,grade,formulation,price
2007-02-05,diesel,ultra_low_sulfur,,2.463
2007-02-05,diesel,low_sulfur,,2.379
2007-02-12,diesel,ultra_low_sulfur,,2.502
2007-02-12,diesel,low_sulfur,,2.42
2007-02-19,diesel,ultra_low_sulfur,,2.515
2007-02-19,diesel,low_sulfur,,2.437
2007-02-26,diesel,ultra_low_sulfur,,2.571
2007-02-26,diesel,low_sulfur,,2.505
2007-03-05,diesel,ultra_low_sulfur,,2.64
2007-03-05,diesel,low_sulfur,,2.584
2007-03-12,diesel,ultra_low_sulfur,,2.695
2007-03-12,diesel,low_sulfur,,2.657
2007-03-19,diesel,ultra_low_sulfur,,2.694
2007-03-19,diesel,low_sulfur,,2.644
2007-03-26,diesel,ultra_low_sulfur,,2.69
2007-03-26,diesel,low_sulfur,,2.634
2007-04-02,diesel,ultra_low_sulfur,,2.803
2007-04-02,diesel,low_sulfur,,2.751
2007-04-09,diesel,ultra_low_sulfur,,2.853
2007-04-09,diesel,low_sulfur,,2.799
2007-04-16,diesel,ultra_low_sulfur,,2.887
2007-04-16,diesel,low_sulfur,,2.845
2007-04-23,diesel,ultra_low_sulfur,,2.863
2007-04-23,diesel,low_sulfur,,2.811
2007-04-30,diesel,ultra_low_sulfur,,2.831
2007-04-30,diesel,low_sulfur,,2.746
2007-05-07,diesel,ultra_low_sulfur,,2.816
2007-05-07,diesel,low_sulfur,,2.716
2007-05-14,diesel,ultra_low_sulfur,,2.797
2007-05-14,diesel,low_sulfur,,2.695
2007-05-21,diesel,ultra_low_sulfur,,2.822
2007-05-21,diesel,low_sulfur,,2.74
2007-05-28,diesel,ultra_low_sulfur,,2.836
2007-05-28,diesel,low_sulfur,,2.752
2007-06-04,diesel,ultra_low_sulfur,,2.819
2007-06-04,diesel,low_sulfur,,2.732
2007-06-11,diesel,ultra_low_sulfur,,2.814
2007-06-11,diesel,low_sulfur,,2.716
2007-06-18,diesel,ultra_low_sulfur,,2.822
2007-06-18,diesel,low_sulfur,,2.748
2007-06-25,diesel,ultra_low_sulfur,,2.847
2007-06-25,diesel,low_sulfur,,2.786
2007-07-02,diesel,ultra_low_sulfur,,2.842
2007-07-02,diesel,low_sulfur,,2.779
2007-07-09,diesel,ultra_low_sulfur,,2.859
2007-07-09,diesel,low_sulfur,,2.809
2007-07-16,diesel,ultra_low_sulfur,,2.902
2007-07-16,diesel,low_sulfur,,2.834
2007-07-23,diesel,ultra_low_sulfur,,2.903
